phone,axes,first_with,with_without,first_without
r,Rough - Tender,+++5.007e-231,+++6.06e-232,+++4.421e-21
r,Sad - Joyful,0.1395,+++6.611e-15,+++4.981e-44
r,Short - Long,0.04133,+++8.627e-42,+++6.408e-63
r,Slow - Quick,+++6.631e-124,+++9.862e-34,+++1.111e-118
r,Small - Big,+++1.702e-66,+++3.3e-52,+++5.671e-11
r,Smooth - Rough_or_not_smooth,+++8.211e-09,+++5.064e-18,++0.001084
r,Ugly - Beautiful,+++1.233e-44,+++6.405e-65,0.02378
ɾ,Angular - Round,1.0,0.02882,1.0
ɾ,Bad - Good,1.0,+++1.717e-50,1.0
ɾ,Cold - Hot,1.0,0.117,1.0
ɾ,Complex - Simple,1.0,+++8.447e-07,1.0
ɾ,Cowardly - Brave,1.0,++0.002294,1.0
ɾ,Dangerous - Secure,1.0,+++4.103e-165,1.0
ɾ,Dark - Luminous,1.0,+++2.047e-51,1.0
ɾ,Difficult - Easy,1.0,+++0.0,1.0
ɾ,Evil - Benign,1.0,+++1.02e-13,1.0
ɾ,Faded - Bright,1.0,+++5.767e-108,1.0
ɾ,Feeble - Strong,1.0,+++0.0,1.0
ɾ,Masculine - Feminine,1.0,+++9.538e-18,1.0
ɾ,Passive - Active,1.0,+++0.0,1.0
ɾ,Quiet - Loud,1.0,0.01541,1.0
ɾ,Rough - Tender,1.0,+++1.167e-90,1.0
ɾ,Sad - Joyful,1.0,+++2.399e-187,1.0
ɾ,Short - Long,1.0,+++1.122e-221,1.0
ɾ,Slow - Quick,1.0,+++0.0,1.0
ɾ,Small - Big,1.0,+++3.766e-92,1.0
ɾ,Smooth - Rough_or_not_smooth,1.0,+++1.929e-13,1.0
ɾ,Ugly - Beautiful,1.0,+++2.294e-07,1.0
s,Angular - Round,+++6.845e-15,+++0.0,+++4.273e-25
s,Bad - Good,+++9.173e-20,+++0.0,+++4.2e-126
s,Cold - Hot,0.1941,+++5.771e-27,+++4.316e-05
s,Complex - Simple,+++3.42e-25,+++0.0,+++3.995e-60
s,Cowardly - Brave,+++3.351e-29,+++0.0,+++7.348e-115
s,Dangerous - Secure,+++1.496e-65,+++0.0,+++1.809e-26
s,Dark - Luminous,+++2.266e-09,0.2122,+++4.7e-08
s,Difficult - Easy,+++0.0002602,+++5.442e-27,+++1.053e-16
s,Evil - Benign,+++7.558e-09,+++0.0,+++3.541e-72
s,Faded - Bright,+++1.505e-07,+++6.655e-57,++0.007584
s,Feeble - Strong,+++1.219e-13,+++2.431e-08,+++3.137e-06
s,Masculine - Feminine,+++1.113e-90,+++0.0,+++4.347e-105
s,Passive - Active,+++5.151e-17,+++3.28e-127,+++0.0007555
s,Quiet - Loud,+++3.681e-12,+++0.0,+++3.582e-59
s,Rough - Tender,++0.00541,+++0.0,+++2.655e-83
s,Sad - Joyful,0.2638,+++1.731e-21,+++0.0001266
s,Short - Long,+++5.986e-25,+++7.358e-237,+++4.699e-07
s,Slow - Quick,+++6.279e-21,+++8.922e-12,+++3.138e-32
s,Small - Big,+++1.029e-24,+++0.0,+++3.302e-64
s,Smooth - Rough_or_not_smooth,0.2498,+++3.266e-07,0.05366
s,Ugly - Beautiful,+++0.0002056,+++4.768e-79,+++1.119e-07
θ,Angular - Round,+++6.406e-72,+++6.207e-98,+++1.511e-32
θ,Bad - Good,0.03644,+++6.783e-27,+++3.707e-08
θ,Cold - Hot,0.2724,+++5.484e-71,+++3.047e-11
θ,Complex - Simple,++0.001189,+++2.56e-71,++0.004391
θ,Cowardly - Brave,+++0.000325,+++7.646e-99,++0.001262
θ,Dangerous - Secure,+++1.368e-69,+++5.241e-55,+++4.741e-41
θ,Dark - Luminous,+++5.538e-31,+++1.543e-141,+++5.551e-05
θ,Difficult - Easy,+++6.908e-13,+++4.96e-41,+++0.0009542
θ,Evil - Benign,+++0.0003881,+++6.042e-18,+++1.093e-10
θ,Faded - Bright,+++6.122e-77,+++1.682e-15,+++8.815e-61
θ,Feeble - Strong,0.03687,+++1.907e-65,+++7.226e-05
θ,Masculine - Feminine,0.01364,+++3.163e-21,0.243
θ,Passive - Active,+++1.791e-107,+++9.517e-227,+++2.121e-37
θ,Quiet - Loud,+++0.0003954,+++4.131e-80,++0.004141
θ,Rough - Tender,+++3.714e-11,+++6.131e-75,0.1735
θ,Sad - Joyful,+++2.751e-08,0.03538,+++1.245e-10
θ,Short - Long,+++1.894e-91,+++9.304e-25,+++5.868e-67
θ,Slow - Quick,+++2.08e-105,+++3.222e-256,+++2.298e-33
θ,Small - Big,+++1.109e-35,+++6.283e-51,+++8.469e-16
θ,Smooth - Rough_or_not_smooth,+++5.428e-63,+++3.439e-147,+++6.723e-20
θ,Ugly - Beautiful,0.06446,+++1.626e-21,+++1.045e-06
t,Angular - Round,+++4.97e-64,+++4.684e-19,+++3.969e-41
t,Bad - Good,+++3.076e-05,0.2669,+++4.156e-05
t,Cold - Hot,+++2.786e-38,+++1.537e-05,+++6.188e-30
t,Complex - Simple,++0.005304,0.3498,++0.006318
t,Cowardly - Brave,+++2.405e-08,0.08089,+++1.12e-10
t,Dangerous - Secure,+++1.911e-138,+++2.288e-121,+++9.953e-54
t,Dark - Luminous,+++6.468e-97,+++1.769e-28,+++2.699e-60
t,Difficult - Easy,0.4114,0.1022,0.351
t,Evil - Benign,0.4077,++0.007515,0.09489
t,Faded - Bright,+++8.925e-88,0.1026,+++2.046e-96
t,Feeble - Strong,+++1.713e-15,+++1.577e-69,0.3983
t,Masculine - Feminine,+++0.0002235,+++1.315e-05,+++1.239e-08
t,Passive - Active,+++1.097e-101,+++8.243e-118,+++5.369e-30
t,Quiet - Loud,0.4542,+++1.994e-30,+++7.097e-08
t,Rough - Tender,+++1.147e-68,0.2078,+++8.872e-73
t,Sad - Joyful,+++1.173e-09,+++1.651e-25,0.0855
t,Short - Long,+++4.558e-36,+++1.213e-07,+++2.197e-26
t,Slow - Quick,+++1.938e-149,+++4.331e-82,+++2.15e-75
t,Small - Big,+++1.733e-25,+++6.344e-06,+++1.513e-18
t,Smooth - Rough_or_not_smooth,+++3.499e-30,+++4.321e-163,0.2829
t,Ugly - Beautiful,0.2585,+++2.154e-17,+++2.636e-06
v,Angular - Round,1.0,1.0,1.0
v,Bad - Good,1.0,1.0,1.0
v,Cold - Hot,1.0,1.0,1.0
v,Complex - Simple,1.0,1.0,1.0
v,Cowardly - Brave,1.0,1.0,1.0
v,Dangerous - Secure,1.0,1.0,1.0
v,Dark - Luminous,1.0,1.0,1.0
v,Difficult - Easy,1.0,1.0,1.0
v,Evil - Benign,1.0,1.0,1.0
v,Faded - Bright,1.0,1.0,1.0
v,Feeble - Strong,1.0,1.0,1.0
v,Masculine - Feminine,1.0,1.0,1.0
v,Passive - Active,1.0,1.0,1.0
v,Quiet - Loud,1.0,1.0,1.0
v,Rough - Tender,1.0,1.0,1.0
v,Sad - Joyful,1.0,1.0,1.0
v,Short - Long,1.0,1.0,1.0
v,Slow - Quick,1.0,1.0,1.0
v,Small - Big,1.0,1.0,1.0
v,Smooth - Rough_or_not_smooth,1.0,1.0,1.0
v,Ugly - Beautiful,1.0,1.0,1.0
x,Angular - Round,+++3.779e-06,+++2.48e-18,0.1119
x,Bad - Good,+++5.14e-15,0.2581,+++2.844e-18
x,Cold - Hot,0.2709,0.328,0.1999
x,Complex - Simple,++0.005535,0.1988,+++0.0009603
x,Cowardly - Brave,0.4474,0.04108,0.1874
x,Dangerous - Secure,+++2.341e-37,0.122,+++3.074e-45
x,Dark - Luminous,0.3168,0.1735,0.4542
x,Difficult - Easy,+++5.471e-25,0.03101,+++3.283e-33
x,Evil - Benign,++0.003709,0.02539,+++8.814e-05
x,Faded - Bright,+++4.193e-42,0.07283,+++2.798e-52
x,Feeble - Strong,+++5.202e-12,0.09728,+++8.25e-12
x,Masculine - Feminine,0.3372,+++4.166e-06,0.07759
x,Passive - Active,+++0.0004944,0.01508,+++4.418e-06
x,Quiet - Loud,+++4.588e-24,+++1.296e-08,+++7.507e-17
x,Rough - Tender,+++2.007e-05,0.4612,+++4.576e-06
x,Sad - Joyful,+++3.909e-15,+++0.0002049,+++5.262e-12
x,Short - Long,+++6.892e-17,+++3.52e-12,+++7.472e-31
x,Slow - Quick,+++1.091e-12,+++8.709e-06,+++1.845e-20
x,Small - Big,+++1.729e-09,0.3003,+++5.632e-10
x,Smooth - Rough_or_not_smooth,+++1.015e-13,0.0521,+++1.176e-13
x,Ugly - Beautiful,0.01155,+++4.778e-06,0.306
z,Angular - Round,1.0,+++2.612e-07,1.0
z,Bad - Good,1.0,+++4.883e-111,1.0
z,Cold - Hot,1.0,+++2.827e-33,1.0
z,Complex - Simple,1.0,+++4.127e-58,1.0
z,Cowardly - Brave,1.0,+++3.019e-26,1.0
z,Dangerous - Secure,1.0,+++2.67e-07,1.0
z,Dark - Luminous,1.0,+++2.84e-08,1.0
z,Difficult - Easy,1.0,+++1.627e-26,1.0
z,Evil - Benign,1.0,+++1.127e-79,1.0
z,Faded - Bright,1.0,+++1.389e-62,1.0
z,Feeble - Strong,1.0,+++5.091e-09,1.0
z,Masculine - Feminine,1.0,+++8.783e-13,1.0
z,Passive - Active,1.0,+++6.703e-11,1.0
z,Quiet - Loud,1.0,++0.009992,1.0
z,Rough - Tender,1.0,+++1.75e-146,1.0
z,Sad - Joyful,1.0,+++1.742e-32,1.0
z,Short - Long,1.0,+++1.166e-59,1.0
z,Slow - Quick,1.0,+++0.0004244,1.0
z,Small - Big,1.0,+++6.627e-32,1.0
z,Smooth - Rough_or_not_smooth,1.0,+++2.461e-35,1.0
z,Ugly - Beautiful,1.0,+++1.187e-18,1.0
a,Angular - Round,+++6.702e-10,+++3.946e-14,0.2668
a,Bad - Good,+++3.624e-15,+++4.975e-11,0.05078
a,Cold - Hot,+++1.846e-16,+++9.851e-106,+++9.863e-22
a,Complex - Simple,+++3.276e-33,+++1.655e-71,+++0.0001161
a,Cowardly - Brave,+++1.967e-25,+++5.78e-29,0.4464
a,Dangerous - Secure,+++1.697e-19,0.258,+++1.762e-14
a,Dark - Luminous,+++1.282e-21,+++4.369e-42,0.01656
a,Difficult - Easy,+++5.162e-69,+++2.211e-140,+++4.248e-232
a,Evil - Benign,0.4674,+++1.599e-16,+++6.898e-10
a,Faded - Bright,+++1.702e-130,0.2206,+++1.033e-92
a,Feeble - Strong,0.01792,+++1.894e-07,+++2.159e-08
a,Masculine - Feminine,+++9.272e-59,+++2.503e-90,0.01561
a,Passive - Active,+++1.273e-15,+++7.423e-60,+++3.475e-74
a,Quiet - Loud,+++7.486e-109,+++2.077e-30,+++5.853e-23
a,Rough - Tender,+++4.343e-15,+++2.345e-74,+++2.395e-13
a,Sad - Joyful,+++2.816e-16,+++2.285e-07,++0.001346
a,Short - Long,+++2.995e-73,+++4.783e-148,+++2.453e-07
a,Slow - Quick,+++9.183e-05,+++2.381e-59,+++1.177e-50
a,Small - Big,+++8.178e-43,+++2.719e-27,+++1.994e-75
a,Smooth - Rough_or_not_smooth,+++2.433e-11,+++1.634e-25,+++4.286e-39
a,Ugly - Beautiful,0.02953,+++1.277e-23,+++4.627e-09
e,Angular - Round,+++3.127e-58,+++1.391e-156,0.09145
e,Bad - Good,+++2.391e-23,0.2869,+++1.092e-19
e,Cold - Hot,0.128,+++7.848e-41,+++6.669e-13
e,Complex - Simple,+++2.462e-08,+++3.098e-05,+++5.076e-15
e,Cowardly - Brave,+++9.277e-30,+++5.848e-15,+++3.783e-09
e,Dangerous - Secure,+++1.075e-07,+++1.577e-143,+++5.519e-101
e,Dark - Luminous,+++5.35e-16,+++5.078e-08,+++1.9e-26
e,Difficult - Easy,0.1632,+++1.41e-184,+++2.665e-64
e,Evil - Benign,+++3.696e-11,+++1.267e-05,+++1.539e-18
e,Faded - Bright,+++9.154e-08,+++5.819e-297,+++7.753e-170
e,Feeble - Strong,+++3.276e-05,+++5.188e-36,+++7.824e-05
e,Masculine - Feminine,+++1.122e-32,+++1.639e-21,+++8.333e-08
e,Passive - Active,+++6.328e-12,+++7.961e-31,+++6.372e-41
e,Quiet - Loud,+++1.672e-12,+++1.681e-70,+++5.885e-70
e,Rough - Tender,+++1.606e-47,+++1.112e-38,+++5.145e-08
e,Sad - Joyful,++0.001952,0.3408,++0.001558
e,Short - Long,+++7.175e-07,+++1.099e-200,+++9.395e-119
e,Slow - Quick,0.1063,+++3.309e-109,+++1.599e-55
e,Small - Big,+++6.022e-72,+++1.778e-05,+++1.186e-46
e,Smooth - Rough_or_not_smooth,+++1.276e-05,+++5.162e-08,+++1.522e-13
e,Ugly - Beautiful,+++8.699e-06,+++0.0003355,0.02605
i,Angular - Round,+++1.493e-80,++0.007222,+++2.036e-94
i,Bad - Good,+++1.47e-148,+++2.454e-129,+++2.915e-57
i,Cold - Hot,+++5.778e-09,+++7.261e-06,+++2.402e-15
i,Complex - Simple,+++2.473e-33,+++1.533e-50,+++4.795e-09
i,Cowardly - Brave,0.05901,+++3.16e-116,+++4.031e-20
i,Dangerous - Secure,+++3.819e-71,+++8.827e-06,+++1.475e-58
i,Dark - Luminous,0.4767,+++1.201e-115,+++1.057e-24
i,Difficult - Easy,+++3.431e-88,+++0.0,0.02071
i,Evil - Benign,+++1.892e-152,+++2.412e-43,+++2.299e-96
i,Faded - Bright,+++1.233e-124,+++9.674e-51,+++2.329e-65
i,Feeble - Strong,+++0.0004573,+++1.4e-120,+++8.036e-13
i,Masculine - Feminine,0.01199,+++1.276e-93,+++1.36e-32
i,Passive - Active,+++6.276e-12,+++6.688e-34,+++3.293e-34
i,Quiet - Loud,+++3.547e-09,+++1.323e-222,+++1.388e-92
i,Rough - Tender,0.02275,+++2.349e-138,+++3.552e-41
i,Sad - Joyful,+++0.000402,+++1.027e-10,0.3228
i,Short - Long,+++2.494e-42,+++1.779e-50,+++6.75e-12
i,Slow - Quick,+++1.667e-28,+++6.205e-13,+++6.823e-47
i,Small - Big,+++3.166e-95,+++1.336e-38,+++1.841e-52
i,Smooth - Rough_or_not_smooth,+++1.828e-243,+++4.06e-54,+++0.0
i,Ugly - Beautiful,+++9.209e-38,+++2.079e-05,+++7.364e-49
o,Angular - Round,0.1409,+++9.134e-16,+++0.0002486
o,Bad - Good,+++3.73e-22,+++8.036e-24,+++2.489e-12
o,Cold - Hot,+++6.571e-05,+++1.402e-106,+++1.187e-26
o,Complex - Simple,+++1.111e-07,+++1.102e-05,+++2.043e-11
o,Cowardly - Brave,+++3.136e-72,+++3.18e-117,+++2.116e-32
o,Dangerous - Secure,+++8.443e-37,+++2.989e-45,+++7.193e-17
o,Dark - Luminous,0.4195,+++3.25e-08,0.03057
o,Difficult - Easy,0.333,+++3.544e-176,+++6.974e-17
o,Evil - Benign,+++3.286e-08,+++1.212e-05,+++1.34e-11
o,Faded - Bright,+++5.152e-27,+++5.242e-19,+++7.838e-15
o,Feeble - Strong,0.3271,+++4.59e-63,+++6.264e-07
o,Masculine - Feminine,+++6.663e-21,+++2.012e-61,+++1.862e-06
o,Passive - Active,+++1.335e-24,+++1.284e-26,+++7.354e-13
o,Quiet - Loud,+++0.000568,+++7.198e-37,0.2873
o,Rough - Tender,+++4.013e-35,+++3.709e-209,+++0.0003884
o,Sad - Joyful,+++2.995e-23,+++2.381e-22,+++2.776e-12
o,Short - Long,+++1.423e-74,+++8.412e-83,+++6.216e-38
o,Slow - Quick,+++0.0006429,+++0.0008978,+++9.304e-06
o,Small - Big,+++8.189e-40,+++2.072e-108,+++1.222e-10
o,Smooth - Rough_or_not_smooth,+++4.399e-12,+++1.311e-95,0.303
o,Ugly - Beautiful,+++7.575e-32,+++7.317e-218,++0.007471
u,Angular - Round,++0.001042,+++5.231e-07,0.0217
u,Bad - Good,0.1275,+++1.031e-12,0.3401
u,Cold - Hot,+++1.45e-06,++0.008228,+++1.257e-05
u,Complex - Simple,++0.001038,0.08177,+++0.0002462
u,Cowardly - Brave,0.1852,+++2.696e-45,+++1.652e-05
u,Dangerous - Secure,+++2.95e-05,0.08909,+++7.373e-05
u,Dark - Luminous,0.3302,+++0.0002359,0.3592
u,Difficult - Easy,+++6.962e-07,0.3821,+++2.963e-07
u,Evil - Benign,0.1678,+++2.094e-21,+++0.0009638
u,Faded - Bright,0.1922,+++1.517e-21,0.07418
u,Feeble - Strong,0.07189,+++4.703e-21,0.2195
u,Masculine - Feminine,0.08208,+++7.432e-27,+++4.627e-05
u,Passive - Active,0.2899,0.01893,0.1512
u,Quiet - Loud,0.2607,+++4.129e-37,+++0.0001383
u,Rough - Tender,0.4149,+++8.312e-13,0.02601
u,Sad - Joyful,+++3.947e-10,+++3.111e-15,+++2.803e-16
u,Short - Long,+++0.0004645,0.04856,+++8.472e-05
u,Slow - Quick,0.172,+++0.0002118,0.0439
u,Small - Big,0.1668,+++0.0001737,0.03317
u,Smooth - Rough_or_not_smooth,++0.008306,0.04416,0.0207
u,Ugly - Beautiful,+++9.791e-06,+++2.022e-112,+++6.154e-22
j,Angular - Round,1.0,+++2.017e-219,1.0
j,Bad - Good,1.0,+++6.564e-42,1.0
j,Cold - Hot,1.0,+++8.827e-99,1.0
j,Complex - Simple,1.0,+++1.654e-170,1.0
j,Cowardly - Brave,1.0,+++2.866e-302,1.0
j,Dangerous - Secure,1.0,+++5.265e-06,1.0
j,Dark - Luminous,1.0,+++3.37e-09,1.0
j,Difficult - Easy,1.0,+++5.776e-106,1.0
j,Evil - Benign,1.0,+++5.797e-17,1.0
j,Faded - Bright,1.0,+++2.268e-37,1.0
j,Feeble - Strong,1.0,+++1.03e-76,1.0
j,Masculine - Feminine,1.0,+++2.293e-125,1.0
j,Passive - Active,1.0,+++1.703e-94,1.0
j,Quiet - Loud,1.0,+++5.964e-171,1.0
j,Rough - Tender,1.0,+++5.848e-175,1.0
j,Sad - Joyful,1.0,+++5.114e-14,1.0
j,Short - Long,1.0,0.1896,1.0
j,Slow - Quick,1.0,+++2.204e-150,1.0
j,Small - Big,1.0,+++3.116e-15,1.0
j,Smooth - Rough_or_not_smooth,1.0,+++0.0,1.0
j,Ugly - Beautiful,1.0,+++1.176e-102,1.0
w,Angular - Round,0.03363,+++1.439e-05,0.09455
w,Bad - Good,+++0.000116,+++0.0002725,+++0.0006939
w,Cold - Hot,++0.004717,+++2.769e-12,0.04559
w,Complex - Simple,+++0.000166,+++3.178e-05,+++0.0009025
w,Cowardly - Brave,0.2011,+++1.591e-06,0.4296
w,Dangerous - Secure,+++6.61e-08,+++1.315e-29,+++2.205e-05
w,Dark - Luminous,+++9.574e-19,+++2.278e-06,+++4.325e-21
w,Difficult - Easy,0.2275,+++2.206e-16,0.02199
w,Evil - Benign,+++1.778e-05,+++4.663e-06,+++0.0001676
w,Faded - Bright,++0.006319,0.01113,0.01358
w,Feeble - Strong,+++1.148e-05,0.2863,+++9.639e-06
w,Masculine - Feminine,++0.006891,0.4321,++0.004659
w,Passive - Active,+++4.11e-18,0.09764,+++2.262e-17
w,Quiet - Loud,0.4707,+++7.113e-07,0.2765
w,Rough - Tender,+++8.62e-05,0.1215,+++0.0001153
w,Sad - Joyful,+++3.918e-08,+++5.8e-12,+++3.939e-10
w,Short - Long,++0.004786,+++0.0004012,0.01651
w,Slow - Quick,+++2.242e-07,0.219,+++1.217e-07
w,Small - Big,++0.007797,++0.004461,0.01872
w,Smooth - Rough_or_not_smooth,0.4169,0.4426,0.4369
w,Ugly - Beautiful,+++2.995e-08,+++1.932e-08,+++1.512e-06
ñ,Angular - Round,1.0,1.0,1.0
ñ,Bad - Good,1.0,1.0,1.0
ñ,Cold - Hot,1.0,1.0,1.0
ñ,Complex - Simple,1.0,1.0,1.0
ñ,Cowardly - Brave,1.0,1.0,1.0
ñ,Dangerous - Secure,1.0,1.0,1.0
ñ,Dark - Luminous,1.0,1.0,1.0
ñ,Difficult - Easy,1.0,1.0,1.0
ñ,Evil - Benign,1.0,1.0,1.0
ñ,Faded - Bright,1.0,1.0,1.0
ñ,Feeble - Strong,1.0,1.0,1.0
ñ,Masculine - Feminine,1.0,1.0,1.0
ñ,Passive - Active,1.0,1.0,1.0
ñ,Quiet - Loud,1.0,1.0,1.0
ñ,Rough - Tender,1.0,1.0,1.0
ñ,Sad - Joyful,1.0,1.0,1.0
ñ,Short - Long,1.0,1.0,1.0
ñ,Slow - Quick,1.0,1.0,1.0
ñ,Small - Big,1.0,1.0,1.0
ñ,Smooth - Rough_or_not_smooth,1.0,1.0,1.0
ñ,Ugly - Beautiful,1.0,1.0,1.0
ts,Angular - Round,1.0,1.0,1.0
ts,Bad - Good,1.0,1.0,1.0
ts,Cold - Hot,1.0,1.0,1.0
ts,Complex - Simple,1.0,1.0,1.0
ts,Cowardly - Brave,1.0,1.0,1.0
ts,Dangerous - Secure,1.0,1.0,1.0
ts,Dark - Luminous,1.0,1.0,1.0
ts,Difficult - Easy,1.0,1.0,1.0
ts,Evil - Benign,1.0,1.0,1.0
ts,Faded - Bright,1.0,1.0,1.0
ts,Feeble - Strong,1.0,1.0,1.0
ts,Masculine - Feminine,1.0,1.0,1.0
ts,Passive - Active,1.0,1.0,1.0
ts,Quiet - Loud,1.0,1.0,1.0
ts,Rough - Tender,1.0,1.0,1.0
ts,Sad - Joyful,1.0,1.0,1.0
ts,Short - Long,1.0,1.0,1.0
ts,Slow - Quick,1.0,1.0,1.0
ts,Small - Big,1.0,1.0,1.0
ts,Smooth - Rough_or_not_smooth,1.0,1.0,1.0
ts,Ugly - Beautiful,1.0,1.0,1.0
tʃ,Angular - Round,1.0,+++4.857e-54,1.0
tʃ,Bad - Good,1.0,+++1.064e-136,1.0
tʃ,Cold - Hot,1.0,+++1.232e-36,1.0
tʃ,Complex - Simple,1.0,+++7.936e-189,1.0
tʃ,Cowardly - Brave,1.0,+++4.546e-132,1.0
tʃ,Dangerous - Secure,1.0,+++2.599e-34,1.0
tʃ,Dark - Luminous,1.0,+++7.41e-143,1.0
tʃ,Difficult - Easy,1.0,+++9.701e-11,1.0
tʃ,Evil - Benign,1.0,+++2.934e-102,1.0
tʃ,Faded - Bright,1.0,0.08252,1.0
tʃ,Feeble - Strong,1.0,+++2.917e-136,1.0
tʃ,Masculine - Feminine,1.0,+++2.489e-63,1.0
tʃ,Passive - Active,1.0,+++2.924e-165,1.0
tʃ,Quiet - Loud,1.0,0.3159,1.0
tʃ,Rough - Tender,1.0,+++4.887e-250,1.0
tʃ,Sad - Joyful,1.0,+++6.401e-34,1.0
tʃ,Short - Long,1.0,+++4.978e-22,1.0
tʃ,Slow - Quick,1.0,+++1.894e-262,1.0
tʃ,Small - Big,1.0,+++2.72e-08,1.0
tʃ,Smooth - Rough_or_not_smooth,1.0,+++4.594e-22,1.0
tʃ,Ugly - Beautiful,1.0,+++1.706e-05,1.0
ɟʝ,Angular - Round,1.0,1.0,1.0
ɟʝ,Bad - Good,1.0,1.0,1.0
ɟʝ,Cold - Hot,1.0,1.0,1.0
ɟʝ,Complex - Simple,1.0,1.0,1.0
ɟʝ,Cowardly - Brave,1.0,1.0,1.0
ɟʝ,Dangerous - Secure,1.0,1.0,1.0
ɟʝ,Dark - Luminous,1.0,1.0,1.0
ɟʝ,Difficult - Easy,1.0,1.0,1.0
ɟʝ,Evil - Benign,1.0,1.0,1.0
ɟʝ,Faded - Bright,1.0,1.0,1.0
ɟʝ,Feeble - Strong,1.0,1.0,1.0
ɟʝ,Masculine - Feminine,1.0,1.0,1.0
ɟʝ,Passive - Active,1.0,1.0,1.0
ɟʝ,Quiet - Loud,1.0,1.0,1.0
ɟʝ,Rough - Tender,1.0,1.0,1.0
ɟʝ,Sad - Joyful,1.0,1.0,1.0
ɟʝ,Short - Long,1.0,1.0,1.0
ɟʝ,Slow - Quick,1.0,1.0,1.0
ɟʝ,Small - Big,1.0,1.0,1.0
ɟʝ,Smooth - Rough_or_not_smooth,1.0,1.0,1.0
ɟʝ,Ugly - Beautiful,1.0,1.0,1.0
